1,Toolkit,NULL,,
2,Cannonball,7000,,
3,Nulodion's notes,NULL,,
4,Ammo mould,NULL,,
5,Instruction manual,NULL,,
6,Cannon base,NULL,,
7,Cannon base,NULL,,
8,Cannon stand,NULL,,
9,Cannon stand,NULL,,
10,Cannon barrels,NULL,,
11,Cannon barrels,NULL,,
12,Cannon furnace,NULL,,
13,Cannon furnace,NULL,,
14,Railing,NULL,,
15,Holy table napkin,NULL,,
16,Magic whistle,NULL,,
17,Grail bell,NULL,,
18,Magic gold feather,NULL,,
19,Holy grail,NULL,,
20,White cog,NULL,,
21,Black cog,NULL,,
22,Blue cog,NULL,,
23,Red cog,NULL,,
24,Rat poison,NULL,,
25,Red vine worm,NULL,,
26,Fishing trophy,NULL,,
27,Fishing pass,NULL,,
28,Insect repellent,NULL,,
29,Insect repellent,NULL,,
30,Bucket of wax,NULL,,
31,Bucket of wax,NULL,,
32,Lit black candle,NULL,,
33,Lit candle,NULL,,
34,Null,NULL,,
35,Excalibur,NULL,,
36,Candle,NULL,,
37,Candle,NULL,,
38,Black candle,NULL,,
39,Bronze arrowtips,13000,,
40,Iron arrowtips,13000,,
41,Steel arrowtips,13000,,
42,Mithril arrowtips,13000,,
43,Adamant arrowtips,13000,,
44,Rune arrowtips,13000,,
45,Opal bolt tips,13000,,
46,Pearl bolt tips,13000,,
47,Barb bolttips,13000,,
48,Longbow (u),1000,,
49,Longbow (u),1000,,
50,Shortbow (u),1000,,
51,Shortbow (u),1000,,
52,Arrow shaft,7000,,
53,Headless arrow,7000,,
54,Oak shortbow (u),1000,,
55,Oak shortbow (u),1000,,
56,Oak longbow (u),1000,,
57,Oak longbow (u),1000,,
58,Willow longbow (u),10000,,
59,Willow longbow (u),10000,,
60,Willow shortbow (u),10000,,
61,Willow shortbow (u),10000,,
62,Maple longbow (u),10000,,
63,Maple longbow (u),10000,,
64,Maple shortbow (u),10000,,
65,Maple shortbow (u),10000,,
66,Yew longbow (u),10000,,
67,Yew longbow (u),10000,,
68,Yew shortbow (u),10000,,
69,Yew shortbow (u),10000,,
70,Magic longbow (u),10000,,
71,Magic longbow (u),10000,,
72,Magic shortbow (u),10000,,
73,Magic shortbow (u),10000,,
74,Khazard helmet,NULL,,
75,Khazard armour,NULL,,
76,Khazard cell keys,NULL,,
77,Khali brew,NULL,,
78,Ice arrows,NULL,,
83,Lever,NULL,,
84,Staff of armadyl,NULL,,
85,Shiny key,NULL,,
86,Pendant of lucien,NULL,,
87,Armadyl pendant,NULL,,
88,Boots of lightness,NULL,,
89,Boots of lightness,NULL,,
90,Child's blanket,NULL,,
91,Guam potion (unf),2000,,
92,Guam potion (unf),2000,,
93,Marrentill potion (unf),2000,,
94,Marrentill potion (unf),2000,,
95,Tarromin potion (unf),2000,,
96,Tarromin potion (unf),2000,,
97,Harralander potion (unf),2000,,
98,Harralander potion (unf),2000,,
99,Ranarr potion (unf),2000,,
100,Ranarr potion (unf),2000,,
101,Irit potion (unf),2000,,
102,Irit potion (unf),2000,,
103,Avantoe potion (unf),2000,,
104,Avantoe potion (unf),2000,,
105,Kwuarm potion (unf),2000,,
106,Kwuarm potion (unf),2000,,
107,Cadantine potion (unf),2000,,
108,Cadantine potion (unf),2000,,
109,Dwarf weed potion (unf),2000,,
110,Dwarf weed potion (unf),2000,,
111,Torstol potion (unf),2000,,
112,Torstol potion (unf),2000,,
113,Strength potion(4),2000,,
114,Strength potion(4),2000,,
115,Strength potion(3),2000,,
116,Strength potion(3),2000,,
117,Strength potion(2),2000,,
118,Strength potion(2),2000,,
119,Strength potion(1),2000,,
120,Strength potion(1),2000,,
121,Attack potion(3),2000,,
122,Attack potion(3),2000,,
123,Attack potion(2),2000,,
124,Attack potion(2),2000,,
125,Attack potion(1),2000,,
126,Attack potion(1),2000,,
127,Restore potion(3),2000,,
128,Restore potion(3),2000,,
129,Restore potion(2),2000,,
130,Restore potion(2),2000,,
131,Restore potion(1),2000,,
132,Restore potion(1),2000,,
133,Defence potion(3),2000,,
134,Defence potion(3),2000,,
135,Defence potion(2),2000,,
136,Defence potion(2),2000,,
137,Defence potion(1),2000,,
138,Defence potion(1),2000,,
139,Prayer potion(3),2000,,
140,Prayer potion(3),2000,,
141,Prayer potion(2),2000,,
142,Prayer potion(2),2000,,
143,Prayer potion(1),2000,,
144,Prayer potion(1),2000,,
145,Super attack(3),2000,,
146,Super attack(3),2000,,
147,Super attack(2),2000,,
148,Super attack(2),2000,,
149,Super attack(1),2000,,
150,Super attack(1),2000,,
151,Fishing potion(3),2000,,
152,Fishing potion(3),2000,,
153,Fishing potion(2),2000,,
154,Fishing potion(2),2000,,
155,Fishing potion(1),2000,,
156,Fishing potion(1),2000,,
157,Super strength(3),2000,,
158,Super strength(3),2000,,
159,Super strength(2),2000,,
160,Super strength(2),2000,,
161,Super strength(1),2000,,
162,Super strength(1),2000,,
163,Super defence(3),2000,,
164,Super defence(3),2000,,
165,Super defence(2),2000,,
166,Super defence(2),2000,,
167,Super defence(1),2000,,
168,Super defence(1),2000,,
169,Ranging potion(3),2000,,
170,Ranging potion(3),2000,,
171,Ranging potion(2),2000,,
172,Ranging potion(2),2000,,
173,Ranging potion(1),2000,,
174,Ranging potion(1),2000,,
175,Antipoison(3),2000,,
176,Antipoison(3),2000,,
177,Antipoison(2),2000,,
178,Antipoison(2),2000,,
179,Antipoison(1),2000,,
180,Antipoison(1),2000,,
181,Superantipoison(3),2000,,
182,Superantipoison(3),2000,,
183,Superantipoison(2),2000,,
184,Superantipoison(2),2000,,
185,Superantipoison(1),2000,,
186,Superantipoison(1),2000,,
187,Weapon poison,2000,,
188,Weapon poison,2000,,
189,Zamorak brew(3),2000,,
190,Zamorak brew(3),2000,,
191,Zamorak brew(2),2000,,
192,Zamorak brew(2),2000,,
193,Zamorak brew(1),2000,,
194,Zamorak brew(1),2000,,
195,Potion,NULL,,
196,Potion,NULL,,
197,Poison chalice,NULL,,
198,Poison chalice,NULL,,
199,Grimy guam leaf,13000,,
200,Grimy guam leaf,13000,,
201,Grimy marrentill,13000,,
202,Grimy marrentill,13000,,
203,Grimy tarromin,13000,,
204,Grimy tarromin,13000,,
205,Grimy harralander,10000,,
206,Grimy harralander,10000,,
207,Grimy ranarr weed,2000,,
208,Grimy ranarr weed,2000,,
209,Grimy irit leaf,2000,,
210,Grimy irit leaf,2000,,
211,Grimy avantoe,2000,,
212,Grimy avantoe,2000,,
213,Grimy kwuarm,2000,,
214,Grimy kwuarm,2000,,
215,Grimy cadantine,2000,,
216,Grimy cadantine,2000,,
217,Grimy dwarf weed,2000,,
218,Grimy dwarf weed,2000,,
219,Grimy torstol,2000,,
220,Grimy torstol,2000,,
221,Eye of newt,1000,,
222,Eye of newt,1000,,
223,Red spiders' eggs,1000,,
224,Red spiders' eggs,1000,,
225,Limpwurt root,1000,,
226,Limpwurt root,1000,,
227,Vial of water,13000,,
228,Vial of water,13000,,
229,Vial,13000,,
230,Vial,13000,,
231,Snape grass,1000,,
232,Snape grass,1000,,
233,Pestle and mortar,1000,,
234,Pestle and mortar,1000,,
235,Unicorn horn dust,1000,,
236,Unicorn horn dust,1000,,
237,Unicorn horn,1000,,
238,Unicorn horn,1000,,
239,White berries,1000,,
240,White berries,1000,,
241,Dragon scale dust,1000,,
242,Dragon scale dust,1000,,
243,Blue dragon scale,1000,,
244,Blue dragon scale,1000,,
245,Wine of zamorak,1000,,
246,Wine of zamorak,1000,,
247,Jangerberries,1000,,
248,Jangerberries,1000,,
249,Guam leaf,13000,,
250,Guam leaf,13000,,
251,Marrentill,13000,,
252,Marrentill,13000,,
253,Tarromin,13000,,
254,Tarromin,13000,,
255,Harralander,10000,,
256,Harralander,10000,,
257,Ranarr weed,2000,,
258,Ranarr weed,2000,,
259,Irit leaf,2000,,
260,Irit leaf,2000,,
261,Avantoe,2000,,
262,Avantoe,2000,,
263,Kwuarm,2000,,
264,Kwuarm,2000,,
265,Cadantine,2000,,
266,Cadantine,2000,,
267,Dwarf weed,2000,,
268,Dwarf weed,2000,,
269,Torstol,2000,,
270,Torstol,2000,,
271,Pressure gauge,NULL,,
272,Fish food,NULL,,
273,Poison,NULL,,
274,Poisoned fish food,NULL,,
275,Key,NULL,,
276,Rubber tube,NULL,,
277,Oil can,NULL,,
278,Cattleprod,NULL,,
279,Sheep feed,NULL,,
280,Sheep bones (1),NULL,,
281,Sheep bones (2),NULL,,
282,Sheep bones (3),NULL,,
283,Sheep bones (4),NULL,,
284,Plague jacket,NULL,,
285,Plague trousers,NULL,,
286,Orange goblin mail,NULL,,
287,Blue goblin mail,NULL,,
288,Goblin mail,125,,
289,Goblin mail,125,,
290,Research package,NULL,,
291,Notes,NULL,,
292,Book on baxtorian,NULL,,
293,A key,NULL,,
294,Glarial's pebble,NULL,,
295,Glarial's amulet,NULL,,
296,Glarial's urn,NULL,,
297,Glarial's urn,NULL,,
298,A key,NULL,,
299,Mithril seeds,NULL,,
300,Rat's tail,NULL,,
301,Lobster pot,40,,
302,Lobster pot,40,,
303,Small fishing net,40,,
304,Small fishing net,40,,
305,Big fishing net,40,,
306,Big fishing net,40,,
307,Fishing rod,40,,
308,Fishing rod,40,,
309,Fly fishing rod,40,,
310,Fly fishing rod,40,,
311,Harpoon,40,,
312,Harpoon,40,,
313,Fishing bait,10000,,
314,Feather,10000,,
315,Shrimps,6000,,
316,Shrimps,6000,,
317,Raw shrimps,6000,,
318,Raw shrimps,6000,,
319,Anchovies,6000,,
320,Anchovies,6000,,
321,Raw anchovies,6000,,
322,Raw anchovies,6000,,
323,Burnt fish,NULL,,
324,Burnt fish,NULL,,
325,Sardine,6000,,
326,Sardine,6000,,
327,Raw sardine,6000,,
328,Raw sardine,6000,,
329,Salmon,6000,,
330,Salmon,6000,,
331,Raw salmon,6000,,
332,Raw salmon,6000,,
333,Trout,6000,,
334,Trout,6000,,
335,Raw trout,6000,,
336,Raw trout,6000,,
337,Giant carp,NULL,,
338,Raw giant carp,NULL,,
339,Cod,6000,,
340,Cod,6000,,
341,Raw cod,6000,,
342,Raw cod,6000,,
343,Burnt fish,NULL,,
344,Burnt fish,NULL,,
345,Raw herring,6000,,
346,Raw herring,6000,,
347,Herring,6000,,
348,Herring,6000,,
349,Raw pike,6000,,
350,Raw pike,6000,,
351,Pike,6000,,
352,Pike,6000,,
