1080,Rune platelegs,70,Not Tradable,NULL
1081,Iron plateskirt,70,False,Designer leg protection.
1082,Iron plateskirt,70,Not Tradable,NULL
1083,Steel plateskirt,70,False,Designer leg protection.
1084,Steel plateskirt,70,Not Tradable,NULL
1085,Mithril plateskirt,70,False,Designer leg protection.
1086,Mithril plateskirt,70,Not Tradable,NULL
1087,Bronze plateskirt,70,False,Designer leg protection.
1088,Bronze plateskirt,70,Not Tradable,NULL
1089,Black plateskirt,70,False,Big, black and heavy looking.
1090,Black plateskirt,70,Not Tradable,NULL
1091,Adamant plateskirt,70,False,Designer leg protection.
1092,Adamant plateskirt,70,Not Tradable,NULL
1093,Rune plateskirt,70,False,Designer leg protection.
1094,Rune plateskirt,70,Not Tradable,NULL
1095,Leather chaps,125,False,Better than no armour!
1096,Leather chaps,125,Not Tradable,NULL
1097,Studded chaps,125,False,Those studs should provide a bit more protection.
1098,Studded chaps,125,Not Tradable,NULL
1099,Green d'hide chaps,70,False,Made from 100% real dragonhide.
1100,Green d'hide chaps,70,Not Tradable,NULL
1101,Iron chainbody,70,False,A series of connected metal rings.
1102,Iron chainbody,70,Not Tradable,NULL
1103,Bronze chainbody,70,False,A series of connected metal rings.
1104,Bronze chainbody,70,Not Tradable,NULL
1105,Steel chainbody,70,False,A series of connected metal rings.
1106,Steel chainbody,70,Not Tradable,NULL
1107,Black chainbody,70,False,A series of connected metal rings.
1108,Black chainbody,70,Not Tradable,NULL
1109,Mithril chainbody,70,False,A series of connected metal rings.
1110,Mithril chainbody,70,Not Tradable,NULL
1111,Adamant chainbody,70,False,A series of connected metal rings.
1112,Adamant chainbody,70,Not Tradable,NULL
1113,Rune chainbody,70,False,A series of connected metal rings.
1114,Rune chainbody,70,Not Tradable,NULL
1115,Iron platebody,125,False,Provides excellent protection.
1116,Iron platebody,125,Not Tradable,NULL
1117,Bronze platebody,70,False,Provides excellent protection.
1118,Bronze platebody,70,Not Tradable,NULL
1119,Steel platebody,70,False,Provides excellent protection.
1120,Steel platebody,70,Not Tradable,NULL
1121,Mithril platebody,70,False,Provides excellent protection.
1122,Mithril platebody,70,Not Tradable,NULL
1123,Adamant platebody,70,False,Provides excellent protection.
1124,Adamant platebody,70,Not Tradable,NULL
1125,Black platebody,70,False,Provides excellent protection.
1126,Black platebody,70,Not Tradable,NULL
1127,Rune platebody,70,False,Provides excellent protection.
1128,Rune platebody,70,Not Tradable,NULL
1129,Leather body,70,False,Better than no armour!
1130,Leather body,70,Not Tradable,NULL
1131,Hardleather body,70,False,Harder than normal leather.
1132,Hardleather body,70,Not Tradable,NULL
1133,Studded body,70,False,Those studs should provide a bit more protection.
1134,Studded body,70,Not Tradable,NULL
1135,Green d'hide body,120,False,Made from 100% real dragonhide.
1136,Green d'hide body,120,Not Tradable,NULL
1137,Iron med helm,70,False,A medium sized helmet.
1138,Iron med helm,70,Not Tradable,NULL
1139,Bronze med helm,70,False,A medium sized helmet.
1140,Bronze med helm,70,Not Tradable,NULL
1141,Steel med helm,70,False,A medium sized helmet.
1142,Steel med helm,70,Not Tradable,NULL
1143,Mithril med helm,70,False,A medium sized helmet.
1144,Mithril med helm,70,Not Tradable,NULL
1145,Adamant med helm,70,False,A medium sized helmet.
1146,Adamant med helm,70,Not Tradable,NULL
1147,Rune med helm,70,False,A medium sized helmet.
1148,Rune med helm,70,Not Tradable,NULL
1149,Dragon med helm,8,True,Makes the wearer pretty intimidating.
1150,Dragon med helm,8,Not Tradable,NULL
1151,Black med helm,70,False,A medium sized helmet.
1152,Black med helm,70,Not Tradable,NULL
1153,Iron full helm,70,False,A full face helmet.
1154,Iron full helm,70,Not Tradable,NULL
1155,Bronze full helm,70,False,A full face helmet.
1156,Bronze full helm,70,Not Tradable,NULL
1157,Steel full helm,70,False,A full face helmet.
1158,Steel full helm,70,Not Tradable,NULL
1159,Mithril full helm,70,False,A full face helmet.
1160,Mithril full helm,70,Not Tradable,NULL
1161,Adamant full helm,70,False,A full face helmet.
1162,Adamant full helm,70,Not Tradable,NULL
1163,Rune full helm,70,False,A full face helmet.
1164,Rune full helm,70,Not Tradable,NULL
1165,Black full helm,70,False,A full face helmet.
1166,Black full helm,70,Not Tradable,NULL
1167,Leather cowl,125,False,Better than no armour!
1168,Leather cowl,125,Not Tradable,NULL
1169,Coif,125,False,Light weight head protection.
1170,Coif,125,Not Tradable,NULL
1171,Wooden shield,70,False,A solid wooden shield.
1172,Wooden shield,70,Not Tradable,NULL
1173,Bronze sq shield,70,False,A medium square shield.
1174,Bronze sq shield,70,Not Tradable,NULL
1175,Iron sq shield,70,False,A medium square shield.
1176,Iron sq shield,70,Not Tradable,NULL
1177,Steel sq shield,70,False,A medium square shield.
1178,Steel sq shield,70,Not Tradable,NULL
1179,Black sq shield,70,False,A medium square shield.
1180,Black sq shield,70,Not Tradable,NULL
1181,Mithril sq shield,70,False,A medium square shield.
1182,Mithril sq shield,70,Not Tradable,NULL
1183,Adamant sq shield,70,False,A medium square shield.
1184,Adamant sq shield,70,Not Tradable,NULL
1185,Rune sq shield,70,False,A medium square shield.
1186,Rune sq shield,70,Not Tradable,NULL
1187,Dragon sq shield,70,True,An ancient and powerful looking Dragon Square shield.
1188,Dragon sq shield,70,Not Tradable,NULL
1189,Bronze kiteshield,70,False,A large metal shield.
1190,Bronze kiteshield,70,Not Tradable,NULL
1191,Iron kiteshield,70,False,A large metal shield.
1192,Iron kiteshield,70,Not Tradable,NULL
1193,Steel kiteshield,70,False,A large metal shield.
1194,Steel kiteshield,70,Not Tradable,NULL
1195,Black kiteshield,70,False,A large metal shield.
1196,Black kiteshield,70,Not Tradable,NULL
1197,Mithril kiteshield,70,False,A large metal shield.
1198,Mithril kiteshield,70,Not Tradable,NULL
1199,Adamant kiteshield,70,False,A large metal shield.
1200,Adamant kiteshield,70,Not Tradable,NULL
1201,Rune kiteshield,70,False,A large metal shield.
1202,Rune kiteshield,70,Not Tradable,NULL
1203,Iron dagger,70,False,Short but pointy.
1204,Iron dagger,70,Not Tradable,NULL
1205,Bronze dagger,70,False,Short but pointy.
1206,Bronze dagger,70,Not Tradable,NULL
1207,Steel dagger,70,False,Short but pointy.
1208,Steel dagger,70,Not Tradable,NULL
1209,Mithril dagger,70,False,A dangerous dagger.
1210,Mithril dagger,70,Not Tradable,NULL
1211,Adamant dagger,70,False,Short and deadly.
1212,Adamant dagger,70,Not Tradable,NULL
1213,Rune dagger,70,False,A powerful dagger.
1214,Rune dagger,70,Not Tradable,NULL
1215,Dragon dagger,70,True,A powerful dagger.
1216,Dragon dagger,70,Not Tradable,NULL
1217,Black dagger,70,False,A vicious black dagger.
1218,Black dagger,70,Not Tradable,NULL
1219,Iron dagger(p),70,True,The blade is covered with poison.
1220,Iron dagger(p),70,Not Tradable,NULL
1221,Bronze dagger(p),70,True,This dagger is poisoned.
1222,Bronze dagger(p),70,Not Tradable,NULL
1223,Steel dagger(p),70,True,The blade has been poisoned.
1224,Steel dagger(p),70,Not Tradable,NULL
1225,Mithril dagger(p),70,True,A poisoned Mithril dagger.
1226,Mithril dagger(p),70,Not Tradable,NULL
1227,Adamant dagger(p),70,True,A very dangerous poisoned dagger.
1228,Adamant dagger(p),70,Not Tradable,NULL
1229,Rune dagger(p),70,True,The blade is covered with a nasty poison.
1230,Rune dagger(p),70,Not Tradable,NULL
1231,Dragon dagger(p),70,True,A powerful dagger.
1232,Dragon dagger(p),70,Not Tradable,NULL
1233,Black dagger(p),70,True,This dagger is poisoned.
1234,Black dagger(p),70,Not Tradable,NULL
1235,Poisoned dagger(p),70,Not Tradable,NULL
1236,Poisoned dagger(p),70,Not Tradable,NULL
1237,Bronze spear,70,True,A bronze tipped spear.
1238,Bronze spear,70,Not Tradable,NULL
1239,Iron spear,70,True,An iron tipped spear.
1240,Iron spear,70,Not Tradable,NULL
1241,Steel spear,70,True,A steel tipped spear.
1242,Steel spear,70,Not Tradable,NULL
1243,Mithril spear,70,True,A mithril tipped spear.
1244,Mithril spear,70,Not Tradable,NULL
1245,Adamant spear,70,True,An adamantite tipped spear.
1246,Adamant spear,70,Not Tradable,NULL
1247,Rune spear,70,True,A rune tipped spear.
1248,Rune spear,70,Not Tradable,NULL
1249,Dragon spear,70,True,A dragon tipped spear.
1250,Dragon spear,70,Not Tradable,NULL
1251,Bronze spear(p),70,True,A poisoned bronze tipped spear.
1252,Bronze spear(p),70,Not Tradable,NULL
1253,Iron spear(p),70,True,A poisoned iron tipped spear.
1254,Iron spear(p),70,Not Tradable,NULL
1255,Steel spear(p),70,True,A poisoned steel tipped spear.
1256,Steel spear(p),70,Not Tradable,NULL
1257,Mithril spear(p),70,True,A poisoned mithril tipped spear.
1258,Mithril spear(p),70,Not Tradable,NULL
1259,Adamant spear(p),70,True,A poisoned adamantite tipped spear.
1260,Adamant spear(p),70,Not Tradable,NULL
1261,Rune spear(p),70,True,A poisoned rune tipped spear.
1262,Rune spear(p),70,Not Tradable,NULL
1263,Dragon spear(p),70,True,A poisoned dragon tipped spear.
